RANK,COMPANY,CEO,HEADQUARTERS,Country,EMPLOYEES,WHAT IT DOES,FUNDING,VALUATION
1,OpenAI,Sam Altman,"San Francisco, California, United States",United States,"1,100",AI research and products,$11.3 B,$86 B
2,Databricks,Ali Ghodsi,"San Francisco, California, United States",United States,"6,000",Data and AI platform,$4 B,$43 B
3,Stripe,Patrick Collison,"Dublin, Ireland",Ireland,"7,000",Financial Infrastructure,$2.2 B,$65 B
4,Canva,Melanie Perkins,"Sydney, Australia",Australia,"5,000",Visual communication platform,$560 M,$26 B
5,Anthropic,Dario Amodei,"San Francisco, California, United States",United States,630,AI research and products,$8.9 B,$18.1 B
6,ServiceTitan,Ara Mahdessian,"Glendale, California, United States",United States,"2,802",Trade industry software,$1.5 B,$7.4 B
7,Scale AI,Alexandr Wang,"San Francisco, California, United States",United States,900,Data infrastructure,$1.6 B,$13.8 B
8,Deel,Alex Bouaziz,"San Francisco, California, United States",United States,"3,900",Global HR,$675 M,$12 B
9,Wiz,Assaf Rappaport,"New York, New York, United States",United States,"1,200",Cloud security,$1.9 B,$12 B
10,Navan,Ariel Cohen,"Palo Alto, California, United States",United States,"3,000",Travel and expense management,$1.6 B,$9.2 B
11,Miro,Andrey Khusid,"Amsterdam, Netherlands",Netherlands,"1,864",Digital collaboration,$475 M,$17.5 B
12,Figma,Dylan Field,"San Francisco, California, United States",United States,"1,400",Product design and development,$333 M,$12.5 B
13,Celonis,"Alexander Rinke, Bastian Nominacher","Munich, Germany",Germany,"3,000",Process automation,$2 M,$13 B
14,Grammarly,Rahul Roy-Chowdhury,"San Francisco, California, United States",United States,"1,050",Communication assistance,$400 M,$13 B
15,Netskope,Sanjay Beri,"Santa Clara, California, United States",United States,"3,000",Network security,$1.4 B,$7.5 B
16,Talkdesk,Tiago Paiva,"San Francisco, California, United States",United States,"1,700",Cloud contact center,$600 M,$10 B
17,Gusto,Joshua Reeves,"San Francisco, California, United States",United States,"2,800","Payroll, benefits and HR",$746 M,$9.5 B
18,Arctic Wolf,Nick Schneider,"Eden Prairie, Minnesota, United States",United States,"2,600",Security operations,$899 M,$4.3 B
19,Notion,Ivan Zhao,"San Francisco, California, United States",United States,650,Work collaboration,$330 M,$10 B
20,Tanium,Dan Streetman,"Kirkland, Washington, United States",United States,"1,900",Endpoint management,$1.1 B,$9 B
21,OneTrust,Kabir Barday,"Atlanta, Georgia, United States",United States,"2,250",Compliance software,$1.1 B,$4.5 B
22,Rippling,Parker Conrad,"San Francisco, California, United States",United States,"3,057",Workforce management,$905 M,$13.5 B
23,Grafana Labs,Raj Dutt,"Stockholm, Sweden",Sweden,"1,300",Database observability,$570 M,$6 B
24,Checkr,Daniel Yanisse,"San Francisco, California, United States",United States,800,Background checks,$679 M,$5 B
25, Attentive      , Amit Jhawar                                               ," New York , New York, United States                           ",United States,"1,074", SMS marketing                  , $866 M  , $7 B      
26, Carta          , Henry Ward                                                ," San Francisco, California, United States                     ",United States,"1,800", Equity management              , $1.2 B  , $7.4 B    
27, Snyk           , Peter McKay                                               ," Boston, Massachusetts, United States                         ",United States,"1,080", Developer security             , $1 B    , $7.4 B    
28, Cohesity       , Sanjay Poonen                                             ," San Jose, California, United States                          ",United States,"2,250", Data security and management   , $825 M  , $3.5 B    
29, CoreWeave      , Michael Intrator                                          ," Roseland, New Jersey, United States                          ",United States,650, Cloud-based compute            , $9 B    , $19 B     
30, Airtable       , Howie Liu                                                 ," San Francisco, California, United States                     ",United States,600, App development platform       , $1.4 B  , $11.7 B   
31, Zapier         , Wade Foster                                               ," San Francisco, California, United States                     ",United States,736, Workflow automation            , $1.3 B  , $5 B      
32, Postman        , Abhinav Asthana                                           ," San Francisco, California, United States                     ",United States,723, API management                 , $433 M  , $5.6 B    
